-0.48,-0.48,0.814,-0.565,-0.565,-0.565,-0.565,-0.565,-0.565,-0.565,-0.005,1.03,1.03,1.03,-0.004,-0.021,0.46,-0.573,-0.57,0.405,0.405,0.405,0.042,0.614,0.642,0.642,3.66,3.66,0.59,-0.544,0.096,1.14,0.058,0.058,0.309,2.6,-0.578,-0.578,-0.551,0.045,-0.534,-0.534,-0.534,0.022,0.053,0.053,-0.564,-0.576,0.586,0.061,0.067,0.089,-0.528,-0.512,-0.512,-0.512,-0.495,-0.495,-0.495,-0.495,2.07,-0.498,0.039,0.039,-0.474,-0.192,-0.445,-0.445,-0.113,-0.113,-0.113,-0.113,-0.113,-0.113
-0.562,-0.562,-0.542,0.45,0.441,0.441,0.441,0.441,0.441,0.441,0.452,-0.543,-0.543,-0.543,0.436,0.436,0.436,-0.561,-0.561,-0.559,-0.559,-0.56,-0.56,-0.56,-0.56,-0.56,0.445,0.445,0.445,0.421,0.421,0.0,0.013,0.013,-0.553,-0.556,-0.556,-0.556,-0.556,0.235,0.222,0.222,0.222,0.222,0.222,0.222,0.217,0.217,0.434,0.434,-0.551,0.393,-0.549,0.374,0.374,0.374,0.374,0.374,0.374,0.374,0.374,0.342,-0.301,-0.301,0.322,-0.552,-0.309,-0.309,-0.074,-0.074,-0.074,-0.074,-0.074,-0.082
0.009,0.009,0.009,0.718,0.156,0.156,0.156,-0.64,-0.64,-0.64,-0.04,-0.711,0.004,-0.667,-0.008,-0.008,-0.702,0.011,0.029,0.605,0.605,0.034,-0.038,0.596,0.62,0.62,0.101,0.008,1.81,0.035,0.035,0.022,0.027,-0.669,-0.679,0.042,0.016,0.016,0.043,-0.003,-0.003,-0.003,-0.003,-0.003,-0.668,-0.668,0.397,0.397,0.035,0.028,0.4,0.073,-0.666,-0.672,-0.672,-0.672,-0.694,-0.694,-0.694,-0.694,0.039,0.7,-0.668,-0.677,-0.008,0.053,-0.651,-0.662,-0.136,-0.099,-0.099,-0.099,-0.099,-0.079
0.006,0.004,0.095,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.005,-0.009,-0.009,0.108,0.108,0.108,0.0,-0.004,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0.007,0.007,0.004,0.004,0.004,0.0,0.0,0.0,0.0,0.0,0.001,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,-0.001,-0.001,0.006,0.006,0.016,-0.05,-0.05,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.008,0.008,0.027,0.008,0.018,0.018,0.011,0.011,0.011,0.011,0.011,0.011
-0.28,-0.455,0.166,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.0,-0.206,-0.231,-0.231,0.025,0.088,0.05,0.037,0.624,0.167,0.167,0.167,-0.489,-0.549,-0.549,-0.549,0.142,0.142,-0.496,-0.473,-0.454,-0.045,-0.943,-0.479,-0.485,3.18,0.996,-0.5,-0.488,0.133,0.133,0.133,0.133,0.133,-0.489,-0.489,0.036,0.036,-0.048,1.5,0.55,0.185,-0.473,-0.451,-1.09,-0.46,-0.456,-0.456,-0.456,-0.456,-0.456,0.141,0.32,0.32,-0.102,-0.148,-0.448,-0.448,-0.069,-0.069,-0.069,-0.069,-0.069,-0.069
-0.542,-0.526,0.012,0.01,-0.461,-0.486,-0.486,-0.486,-0.486,-0.486,0.036,0.055,0.055,0.055,-0.029,-0.029,-0.029,0.001,0.031,-0.001,0.011,0.011,-0.472,-0.472,-0.472,-0.472,-0.489,-0.489,1.91,-0.028,-0.028,-0.005,-0.005,-0.013,-0.011,0.757,0.044,-0.495,-0.495,0.034,0.034,0.034,0.008,0.008,0.008,0.008,-0.417,-0.408,0.361,0.285,-0.036,1.48,-0.082,-0.506,-0.506,-0.516,2.66,2.66,0.07,0.07,0.07,0.07,-0.049,-0.049,-0.055,-0.069,-0.057,-0.057,-0.388,-0.388,0.198,0.198,0.198,0.198
0.01,0.01,-0.002,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.007,-0.007,-0.007,-0.001,-0.001,-0.003,-0.005,-0.005,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.006,0.003,0.003,0.001,0.001,0.001,-0.03,-0.03,-0.129,-0.369,-0.075,-0.003,-0.003,-0.003,-0.004,-0.004,-0.004,-0.004,-0.002,-0.002,0.003,0.003,0.006,0.043,-0.419,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.007,0.007,0.003,0.007,0.019,0.019,0.003,0.003,0.003,0.003,0.003,0.003
-0.81,-0.81,-0.787,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.016,0.034,0.034,0.034,0.008,0.008,0.008,0.002,-0.795,0.01,0.01,0.002,0.011,0.011,0.011,0.011,3.66,3.66,0.701,-0.019,-0.019,-0.008,-0.008,-0.006,-0.011,-0.011,-0.011,-0.011,-0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.789,-0.789,0.002,0.002,-0.01,-0.042,-0.818,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033,0.001,0.001,-0.051,-0.006,-0.039,-0.039,-0.126,-0.126,-0.132,-0.132,-0.132,-0.134
-0.023,-0.023,-0.012,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.008,0.008,0.008,0.004,0.004,0.004,-0.521,-0.14,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.01,0.01,0.006,0.0,0.0,0.043,0.043,0.043,-0.001,-0.001,-0.001,-0.001,-0.001,-0.007,-0.007,-0.007,-0.007,-0.007,-0.007,-0.007,-0.478,-0.478,-0.002,-0.002,-0.007,-0.01,-0.534,-0.307,-0.307,-0.026,-0.026,-0.026,-0.031,-0.031,-0.031,0.278,0.008,0.008,-0.032,-0.008,-0.011,-0.011,0.125,0.125,0.125,0.125,0.125,-0.184
-0.756,0.337,-0.129,-0.129,-0.129,-0.129,-0.129,-0.129,-0.129,-0.129,2.16,0.379,0.987,0.987,0.485,-0.155,-0.159,1.23,1.39,0.962,0.962,1.03,-0.137,-0.07,-0.07,0.55,-0.136,-0.136,1.21,-0.114,-0.085,1.16,-0.817,1.08,0.706,-0.107,-0.123,-0.123,-0.747,1.02,1.0,0.39,-0.15,-0.15,-0.12,-0.12,-0.139,0.573,-0.133,0.527,0.508,1.41,-0.085,-0.107,-0.107,-0.107,0.955,0.955,0.507,0.507,0.507,1.06,1.11,1.02,0.956,-0.11,-0.053,-0.093,0.316,0.316,0.382,0.382,0.382,0.361
0.028,-0.628,0.0,0.007,-0.683,-0.667,-0.667,-0.667,-0.667,-0.667,0.001,-0.001,-0.001,-0.001,0.005,0.005,0.005,0.001,-0.007,0.0,0.0,0.0,-0.008,-0.008,-0.698,-0.69,-0.665,-0.665,-0.014,0.007,0.007,0.008,0.008,0.008,0.61,1.72,-0.663,-0.663,0.001,0.002,-0.004,-0.004,-0.004,-0.004,-0.69,0.018,-0.664,-0.675,0.009,0.009,-0.001,-0.366,-0.655,-0.657,-0.657,-0.657,0.026,0.026,0.026,0.026,0.026,0.015,0.004,0.004,-0.002,0.013,0.019,0.019,-0.074,-0.074,-0.074,-0.074,-0.074,-0.068
0.251,0.251,0.245,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.472,-0.014,-0.014,-0.014,0.192,-0.016,-0.016,-0.022,-0.016,0.495,0.495,0.495,0.095,0.227,0.227,0.227,0.726,0.726,0.704,0.137,0.247,0.238,0.161,0.161,-0.016,-0.016,-0.016,-0.016,-0.016,-0.012,-0.012,-0.012,-0.012,-0.012,-0.014,-0.014,-0.01,-0.004,-0.008,-0.008,-0.085,-0.012,-0.012,-0.015,-0.015,-0.015,-0.015,-0.015,-0.015,-0.015,-0.015,-0.015,-0.007,-0.007,0.226,0.203,-0.014,-0.014,0.133,0.133,0.133,0.133,0.133,0.133
-0.385,-0.385,-0.231,-0.031,-0.444,-0.444,-0.444,-0.444,-0.444,-0.444,0.515,-0.475,-0.469,-0.469,-0.443,-0.443,-0.443,-0.052,0.103,0.014,0.014,0.015,-0.022,0.422,0.381,0.381,-0.478,-0.478,1.22,-0.415,-0.467,2.06,-0.455,0.1,0.089,0.014,0.014,-0.279,-0.147,-0.001,-0.001,-0.447,-0.444,-0.121,-0.469,-0.442,-0.437,-0.437,-0.451,-0.438,0.723,-0.245,-0.236,-0.222,-0.222,-0.222,-0.277,-0.277,-0.288,-0.288,-0.288,0.209,-0.163,-0.163,0.05,-0.386,0.066,0.066,0.085,0.085,-0.065,-0.065,-0.065,-0.065
-0.212,-0.212,-0.212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.189,-0.24,-0.24,0.297,0.297,0.303,0.063,0.063,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,0.0,0.0,-0.007,-0.022,-0.022,0.257,0.257,0.257,0.301,0.305,0.318,0.318,0.306,-0.002,-0.002,-0.002,-0.002,-0.002,-0.009,-0.009,0.274,0.274,-0.006,-0.006,0.071,0.876,-0.368,-0.023,-0.023,-0.023,-0.023,-0.023,-0.023,-0.023,-0.023,-0.023,0.31,0.31,0.219,-0.036,-0.359,-0.359,0.067,0.067,0.067,0.067,0.067,0.067
-0.021,-0.021,-0.021,-0.022,-0.022,-0.022,-0.022,-0.022,-0.022,-0.022,-0.024,-0.031,-0.047,-0.047,0.907,0.932,0.932,0.476,0.476,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.47,0.47,0.47,-0.005,-0.005,-0.019,-0.019,-0.019,0.473,0.473,0.473,0.473,0.473,-0.027,-0.027,-0.027,-0.027,-0.027,-0.031,-0.031,0.471,0.471,-0.025,-0.025,-0.016,0.506,-0.56,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,-0.011,-0.011,0.45,0.48,0.488,0.488,0.225,0.225,0.225,0.225,0.225,0.225
-0.007,-0.007,0.348,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.27,-0.263,-0.248,-0.248,-0.003,-0.003,-0.003,0.073,0.073,0.235,0.235,0.218,0.037,-0.269,-0.269,-0.269,-0.255,-0.255,0.707,0.013,0.013,-0.008,-0.251,-0.251,-0.006,-0.006,-0.006,-0.006,-0.006,-0.25,-0.014,-0.014,-0.014,-0.003,-0.013,-0.013,0.238,0.238,-0.001,-0.008,-0.21,0.0,0.0,-0.265,-0.193,-0.193,3.66,3.66,-0.26,-0.26,-0.226,-0.226,-0.244,-0.244,0.431,0.706,0.618,0.1,0.615,0.043,0.055,0.613,0.613,0.052
-0.006,-0.013,-0.005,-0.007,-0.007,-0.007,-0.007,-0.007,-0.007,-0.007,-0.007,-0.001,-0.001,-0.001,0.451,0.451,0.451,-0.011,-0.019,0.45,0.45,0.44,0.434,0.434,0.434,0.46,0.45,-0.01,0.446,0.002,0.002,-0.002,-0.002,0.001,0.001,3.66,-0.484,-0.484,0.005,0.462,0.462,0.462,0.462,0.462,0.416,0.416,-0.476,-0.476,-0.004,-0.5,0.004,0.67,-0.495,0.427,0.427,0.427,0.427,0.427,0.427,0.427,0.427,0.427,-0.468,-0.471,-0.082,0.008,-0.488,-0.488,0.042,0.042,0.042,0.042,0.042,0.042
-0.666,-0.666,-0.655,0.015,0.015,0.035,0.035,0.035,0.035,0.035,-0.011,-0.308,-0.306,-0.306,-1.04,-1.04,-1.04,0.017,0.943,-0.2,-0.2,0.533,1.31,1.06,1.06,1.06,0.002,0.002,0.928,-0.659,-0.304,0.508,-0.37,-1.04,-0.662,3.66,-0.009,-0.685,-0.684,1.22,-0.664,-0.664,-0.664,-0.305,-0.305,-0.305,0.108,-0.664,-0.325,1.02,-0.661,1.24,0.063,-0.007,-0.007,-0.007,0.083,0.083,0.083,0.083,0.083,0.856,0.123,-0.598,-0.247,0.0,0.12,0.12,-0.473,1.2,0.639,0.152,0.152,0.152
-0.003,-0.003,-0.003,0.012,0.006,-0.616,-0.616,-0.617,-0.617,-0.617,-0.002,-0.615,-0.615,-0.615,-0.003,0.012,0.003,-0.005,0.001,-0.635,1.6,0.008,0.008,0.008,0.008,0.008,-0.619,-0.619,1.13,0.331,-0.614,0.006,-0.616,-0.616,-0.616,0.802,-0.61,-0.614,-0.614,-0.008,-0.008,-0.008,-0.008,-0.008,0.004,0.004,-0.214,-0.214,0.0,0.0,-0.001,0.021,-1.27,-0.624,-0.624,-0.624,-0.015,-0.015,-0.015,-0.015,-0.015,-0.015,0.014,0.014,-0.016,0.007,0.581,0.581,0.038,0.038,0.038,0.038,0.038,0.054
-0.001,-0.001,-0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,-0.002,0.04,0.04,0.04,0.004,0.004,0.004,-0.002,-0.002,0.007,0.007,0.007,0.0,0.0,0.0,0.0,0.013,0.013,0.013,-0.012,-0.012,0.002,0.002,0.002,-0.002,-0.002,-0.002,-0.002,-0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,-0.01,-0.01,0.003,0.003,-0.011,0.002,0.002,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0.003,0.003,0.01,-0.006,0.006,0.006,-0.001,-0.001,0.001,0.001,0.001,0.001
0.042,0.042,0.042,-0.006,-0.006,-0.006,-0.006,-0.006,-0.006,-0.006,0.051,0.0,0.0,0.0,-0.003,-0.003,-0.003,-0.001,-0.024,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,0.003,0.003,0.003,0.004,0.004,-0.001,-0.001,-0.001,-0.004,-0.004,-0.004,-0.004,-0.004,-0.005,-0.005,-0.005,-0.005,-0.005,-0.005,-0.005,-0.007,-0.007,-0.001,-0.001,0.002,-0.016,-0.016,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,0.005,0.005,0.003,-0.017,0.004,0.004,-0.001,0.006,0.006,0.006,0.006,0.002
-0.015,-0.01,-0.29,0.301,-0.008,-0.008,-0.337,-0.337,-0.337,-0.337,1.14,-0.242,-0.362,-0.362,-0.325,-0.325,-0.322,-0.168,0.014,0.014,0.014,0.082,0.314,0.314,0.277,0.277,-0.341,-0.347,3.66,-0.324,-0.324,0.302,-0.007,-0.007,-0.327,0.0,-0.015,-0.015,-0.015,0.024,0.034,0.014,0.624,0.011,0.011,-0.038,-0.333,-0.312,-0.316,-0.316,-0.317,-0.004,-0.305,-0.343,-0.343,-0.343,-0.023,-0.023,-0.333,-0.333,0.336,0.339,0.023,0.023,-0.097,0.021,0.038,0.038,-0.315,0.623,0.195,0.195,0.195,0.195
-0.733,-0.733,0.034,0.632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.02,0.02,0.02,0.287,-0.692,0.006,0.006,0.006,0.006,0.006,0.006,0.006,3.66,3.66,1.25,-0.17,-0.201,0.022,0.022,-0.723,0.577,3.66,-0.712,-0.712,-0.712,0.005,0.005,0.005,0.005,0.005,0.014,0.014,-0.723,-0.723,0.012,0.012,-0.192,0.403,0.439,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,-0.518,-0.518,-0.719,0.415,-0.003,-0.003,-0.102,-0.102,-0.09,-0.09,-0.09,-0.09
-0.92,-0.92,-0.001,-0.036,-0.036,-0.036,-0.036,-0.036,-0.036,-0.036,-0.038,0.07,0.025,0.025,0.06,0.06,0.06,-0.042,0.853,0.742,0.881,0.883,-0.851,-0.851,-0.851,-0.851,-0.866,-0.866,0.852,-0.401,-0.401,0.009,0.009,0.009,-0.867,0.699,-0.806,-0.878,-0.871,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.84,-0.84,0.001,0.001,-0.039,0.722,-0.869,-0.062,-0.062,-0.062,-0.062,-0.062,-0.062,-0.062,-0.062,-0.062,-0.851,-0.851,-0.084,0.005,-0.074,-0.074,-0.198,-0.198,-0.198,-0.198,-0.198,-0.198
-0.001,-0.001,-0.001,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,-0.006,-0.006,-0.006,-0.011,-0.011,-0.011,-0.01,-0.015,0.576,0.576,0.576,0.571,0.571,0.571,0.571,0.569,0.569,0.568,-0.003,0.012,0.001,0.001,0.001,-0.007,-0.007,-0.007,-0.007,-0.007,-0.006,-0.006,-0.006,-0.006,-0.006,-0.006,-0.006,-0.008,-0.006,-0.001,-0.001,0.003,0.592,-0.622,-0.471,-0.471,-0.471,0.391,0.391,0.391,0.391,0.391,0.391,0.009,0.009,-0.01,0.004,0.016,0.016,0.076,0.076,0.076,0.076,0.076,0.076
-0.018,-0.308,-0.287,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.012,-0.012,-0.012,-0.012,0.01,0.01,0.093,0.539,-0.291,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.008,0.008,0.008,-0.002,-0.002,0.285,-0.282,-0.294,-0.014,-0.001,-0.001,-0.001,-0.001,0.008,0.008,0.008,0.008,0.008,0.001,0.001,-0.283,-0.283,0.026,0.052,-0.008,-0.01,-0.3,-0.018,-0.018,-0.018,-0.018,-0.018,-0.018,-0.018,-0.018,-0.018,0.006,0.006,-0.03,0.012,-0.305,-0.305,-0.009,-0.009,-0.009,-0.009,-0.009,-0.006
-0.023,-0.045,0.705,-0.895,-0.906,-0.906,-0.906,-0.906,-0.906,-0.906,0.739,-0.896,-0.13,-0.13,-0.919,-0.919,-0.915,0.919,-0.919,-0.011,0.002,-0.037,-0.018,1.55,1.55,1.55,-0.965,-0.965,1.86,0.145,-0.931,0.008,0.008,0.008,-0.984,0.012,0.008,0.008,0.035,-0.004,-0.915,-0.915,0.011,0.838,-0.019,-0.096,-0.908,-0.908,-0.895,0.025,-0.872,-0.022,0.033,-0.896,-0.907,-0.907,-0.917,-0.917,-0.902,-0.902,-0.928,-0.283,0.058,0.057,0.021,-0.251,0.867,0.867,-0.867,-0.867,-0.909,-0.89,-0.89,-0.025
-0.27,-0.27,-0.232,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.016,0.017,-0.005,-0.005,-0.001,-0.001,-0.001,-0.155,-0.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.046,-0.046,0.456,0.018,0.018,-0.007,-0.007,-0.007,-0.016,-0.051,-0.012,-0.012,-0.012,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.001,0.001,1.23,-0.021,-0.018,-0.052,-0.03,0.177,0.177,0.177,3.66,3.66,-0.297,-0.297,0.209,0.632,-0.009,-0.009,-0.292,-0.02,-0.05,-0.05,0.035,0.035,0.035,0.035,0.035,0.035
0.0,0.0,0.0,0.005,0.002,0.002,0.002,0.002,0.002,0.002,0.002,-0.435,-0.435,-0.435,0.443,0.443,0.443,0.446,-0.451,0.453,0.453,0.453,0.443,0.443,0.443,0.443,0.0,0.0,0.0,0.426,0.425,-0.447,-0.447,-0.447,-0.006,-0.006,-0.006,-0.006,-0.006,-0.903,0.428,0.428,0.428,0.435,0.435,0.435,-0.436,-0.436,0.451,-0.461,-0.445,0.455,0.455,-0.923,-0.923,-0.923,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,0.023,0.023,-0.013,0.023,-0.935,-0.935,0.338,0.338,0.338,0.338,0.338,-0.346
-0.084,-0.084,-0.089,-0.179,-0.179,-0.179,-0.179,-0.179,-0.179,-0.179,0.86,0.203,0.18,0.18,-0.067,-0.067,-0.067,0.628,-0.023,0.058,0.058,-0.027,-0.027,-0.027,-0.027,-0.027,0.152,0.152,0.746,-0.123,-0.123,0.346,-0.144,-0.144,0.059,-0.124,0.293,0.293,-0.059,0.071,-0.117,-0.117,-0.117,-0.117,0.04,0.04,-0.087,-0.087,-0.041,-0.07,-0.024,0.26,0.137,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,-0.114,-0.114,-0.102,0.084,-0.1,-0.041,0.0,0.0,0.0,0.0,0.0,0.0
-0.129,-0.129,-0.129,0.43,-0.108,-0.108,-0.108,-0.108,-0.108,-0.108,-0.108,-0.361,-0.669,-0.669,-0.221,-0.221,-0.221,-0.015,0.236,0.09,0.09,0.09,0.09,-0.032,-0.032,-0.032,-0.29,-0.29,0.344,0.092,-0.017,0.161,-0.158,-0.158,-0.331,0.087,-0.365,-0.328,-0.328,-0.023,-0.023,-0.023,-0.023,0.699,-0.016,-0.001,0.406,0.406,-0.248,-0.219,0.52,-0.005,0.175,-0.278,-0.278,-0.278,-0.165,-0.165,-0.165,-0.165,-0.165,0.033,-0.287,-0.287,-0.296,-0.344,-0.25,-0.25,0.294,0.276,-0.247,-0.247,-0.247,0.001
-0.002,-0.002,-0.345,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.014,0.018,0.018,-0.752,-0.752,-0.748,0.322,0.322,-0.767,-0.767,0.002,0.024,0.024,0.006,-0.756,-0.762,-0.762,0.772,-0.043,-0.076,0.009,-0.355,-0.338,-0.741,2.09,-0.74,-0.74,-0.74,0.015,0.015,0.015,0.015,0.015,0.015,0.015,-0.743,-0.743,1.31,-0.782,-0.356,0.951,-0.767,-0.027,-0.027,-0.027,-0.027,-0.027,-0.027,-0.027,-0.027,-0.009,-0.718,-0.719,-0.057,0.694,0.699,0.699,-0.152,-0.152,-0.152,-0.152,-0.152,-0.152
-0.411,0.018,-0.393,0.0,0.0,0.0,0.0,0.0,-0.04,-0.04,-0.01,0.357,0.351,0.351,-0.391,-0.39,-0.386,-0.008,-0.804,0.645,0.449,0.51,-0.025,-0.006,-0.006,-0.006,0.491,0.491,0.491,0.0,-0.003,0.37,-0.708,-0.388,0.219,0.375,-0.391,-0.391,0.421,0.0,0.0,-0.392,0.342,0.342,0.699,0.699,0.007,-0.02,0.376,-0.002,-0.394,0.349,0.349,-0.411,-0.405,-0.405,-0.034,-0.034,-0.034,-0.034,1.41,1.2,-0.39,-0.39,-0.401,0.775,-0.015,-0.393,0.141,0.141,-0.282,-0.275,-0.275,-0.275
-0.001,-0.001,-0.416,-0.411,-0.403,-0.403,-0.403,-0.403,-0.403,-0.403,0.019,0.021,0.021,0.021,0.009,0.009,0.009,0.011,0.012,0.002,0.002,0.002,0.002,0.002,0.002,0.002,-0.423,-0.423,0.005,-0.007,-0.007,0.0,0.0,0.0,-0.422,-0.005,-0.005,-0.005,-0.005,0.0,0.38,0.38,0.38,2.89,-0.434,-0.434,0.36,-0.406,0.004,-0.011,-0.416,0.356,-0.001,-0.435,-0.021,-0.021,3.25,3.66,-0.43,-0.43,-0.422,-0.018,0.007,0.007,-0.036,-0.009,-0.018,-0.018,-0.02,-0.02,-0.02,-0.02,-0.02,-0.023
-0.746,-0.746,0.0,0.029,0.029,0.035,0.035,0.035,-0.724,-0.724,0.027,-0.706,-0.713,-0.713,0.002,0.003,-0.716,0.015,0.015,0.01,0.01,-0.011,-0.006,-0.006,-0.006,-0.006,0.79,-0.132,2.83,-0.735,-0.735,0.064,0.017,-1.29,0.017,0.0,0.0,0.0,0.0,-0.735,0.007,0.007,0.007,0.007,0.007,0.056,0.003,0.003,0.014,0.014,-0.17,0.005,0.008,-0.768,-0.743,-0.743,-0.746,-0.746,-0.746,-0.746,-0.738,2.97,0.011,-0.756,-0.039,0.62,-0.766,-0.766,-0.218,-0.218,-0.218,-0.218,-0.218,-0.218
-0.898,-0.898,0.014,0.04,0.029,-0.881,-0.881,-0.879,-0.879,-0.879,0.01,0.007,0.007,0.007,-0.052,-0.052,-0.052,0.011,-0.887,-0.002,0.001,-0.001,-0.001,-0.002,-0.002,-0.002,0.007,0.007,0.015,0.225,0.254,0.003,0.013,0.013,0.03,0.887,-0.877,-0.877,-0.9,0.013,0.0,0.0,0.0,0.0,-0.004,-0.004,-0.873,-0.873,-0.036,-0.017,-0.039,0.003,-0.892,-0.896,-0.466,-0.466,0.021,0.021,0.021,0.021,0.021,0.021,0.016,0.016,-0.023,-0.866,-0.897,-0.897,-0.276,-0.276,-0.276,-0.276,-0.276,-0.276
0.019,0.019,0.108,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,0.035,-0.27,-0.27,-0.27,-0.639,-0.638,-0.291,0.486,0.348,0.178,0.178,-0.001,0.023,0.027,0.027,0.027,-0.356,-0.356,1.18,-0.319,-0.319,0.001,-0.705,-0.045,-0.308,-0.288,-0.218,-0.218,-0.218,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.316,-0.316,-0.261,-0.261,-0.326,0.0,0.0,-0.022,-0.022,-0.022,-0.022,-0.022,-0.022,-0.022,-0.022,0.036,0.289,0.289,0.331,0.433,-0.275,-0.275,0.822,0.312,-0.048,-0.048,-0.048,-0.066
-0.348,-0.348,0.289,0.46,0.46,0.46,-0.822,-0.822,-0.822,-0.822,-0.358,0.097,0.074,0.074,-0.835,-0.115,-0.348,0.055,-0.357,0.089,0.089,0.83,-0.333,-0.333,-0.333,-0.333,2.08,0.049,3.6,0.022,0.022,0.333,-0.301,-0.301,0.052,1.22,-0.364,-0.364,-0.391,0.378,0.378,0.378,0.378,0.378,0.378,0.378,-0.351,-0.351,0.019,0.019,0.354,0.392,-0.82,-0.372,-0.372,-0.372,0.101,0.101,0.101,0.101,0.101,0.101,-0.128,-0.134,-0.359,-0.255,-0.378,-0.378,0.447,0.447,-0.357,-0.357,-0.357,-0.299
0.011,0.011,0.01,0.413,0.035,0.035,0.033,-0.368,-0.368,-0.368,0.294,-0.157,-0.171,-0.171,-0.374,-0.374,-0.374,0.021,0.036,-0.177,-0.177,3.66,-0.337,-0.333,-0.333,-0.333,0.106,0.106,0.905,0.029,-0.369,1.41,-0.072,-0.474,0.487,0.41,-0.162,-0.162,-0.162,0.297,-0.374,-0.374,-0.374,-0.374,0.031,0.031,-0.248,-0.248,0.395,-0.197,0.035,0.007,0.409,-0.39,-0.385,-0.385,-0.385,-0.385,-0.385,-0.385,-0.008,0.439,0.2,0.148,-0.004,0.427,-0.377,0.006,-0.141,0.294,0.294,0.294,0.294,-0.154
-0.733,-0.733,0.095,0.062,0.062,-0.745,-0.745,-0.745,-0.745,-0.745,-0.751,-0.746,-0.766,-0.766,-0.765,-0.758,-0.758,0.08,0.8,0.066,0.066,0.066,0.067,0.067,0.067,-0.783,0.222,0.222,-0.771,-0.748,-0.748,0.053,-0.769,-0.769,0.059,0.07,0.07,0.07,0.079,3.66,-0.757,-0.757,-0.737,0.042,1.63,0.031,-0.763,-0.763,-0.748,-0.755,-0.743,0.086,-0.745,-0.761,-0.761,-0.761,-0.746,-0.746,-0.746,-0.746,-0.746,0.071,0.073,0.073,0.077,0.051,-0.719,-0.719,-0.233,-0.233,-0.252,-0.252,-0.252,-0.445
-0.004,-0.004,-0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.138,0.0,0.0,0.0,-0.107,-0.107,-0.107,0.063,0.063,0.072,0.072,0.072,0.141,0.141,0.141,0.141,0.617,0.617,0.107,0.122,0.122,0.267,-0.17,-0.17,-0.068,-0.068,-0.068,-0.068,-0.068,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.165,-0.165,-0.165,-0.153,-0.156,0.035,0.035,-0.145,-0.148,-0.148,-0.145,-0.145,-0.145,-0.145,-0.145,-0.145,0.134,0.134,-0.131,0.359,-0.153,-0.153,0.049,0.049,0.049,0.049,0.049,-0.041
